founding_year,Calculation1,amount_milestones_corrected,age_last_funding,age_first_funding,is_first_funding_the_biggest_funding,First_funding_amount,biggest_funding_amount_share_of_total_funding_%,biggest_funding_amount,Funding_rounds,days_from_first_to_last_milestone,average_days_per_milestone,Funding_total,funding_duration_days,days_per_funding,average_funding_size,Is_Successful,state,FoundingDate,BusinessField,NumContributors,NumPartners
2001,1,2,1711,1711,1,10000000,100,10000000,1,1865,932,10000000,0,0,10000000,1,MA,01.01.2001,mobile,7,12
2002,0,4,1703,1703,1,6000000,100,6000000,1,541,135,6000000,0,0,6000000,1,CA,01.01.2002,advertising,3,25
2003,0,2,1826,1013,0,286856,52,9095996,3,2405,1202,17400000,813,271,5800000,1,CA,01.01.2003,web,5,2
2006,0,2,579,15,1,9201484,92,9201484,2,771,385,10000000,564,282,5000000,1,UT,01.06.2006,web,2,4
2005,0,1,1935,0,0,763710,56,19490534,4,0,0,34700000,1935,483,8675000,1,CA,01.01.2005,software,2,17
2005,0,4,2647,304,0,467651,27,7600468,7,144,36,27300000,2343,334,3900000,1,NY,01.05.2005,games_video,2,23
2002,0,1,2135,790,1,44407801,61,44407801,4,0,0,72000000,1345,336,18000000,0,CA,01.01.2002,other,1,3
2011,0,1,529,247,0,9778,53,11411,2,0,0,21189,282,141,10594,0,CA,01.01.2011,mobile,1,2
2000,0,1,2192,2192,1,10000000,100,10000000,1,0,0,10000000,0,0,10000000,1,CA,01.01.2000,semiconductor,1,2
2001,1,2,2544,2544,1,5000000,100,5000000,1,4338,2169,5000000,0,0,5000000,1,TX,01.01.2001,security,5,6
2005,0,1,2334,932,0,1221420,90,11578580,2,0,0,12800000,1402,701,6400000,0,IL,15.05.2005,software,2,15
2005,0,1,1403,355,1,33402393,78,33402393,4,0,0,42500000,1048,262,10625000,1,CA,01.01.2005,mobile,2,18
2010,0,1,513,306,0,8222093,56,10577907,2,0,0,18800000,207,103,9400000,1,NY,01.01.2010,fashion,2,4
2004,0,1,2692,243,1,19089064,51,19089064,6,0,0,37079000,2449,408,6179833,1,CA,18.08.2004,security,3,6
2010,0,2,234,0,1,26755273,65,26755273,2,542,271,41000000,234,117,20500000,0,CA,01.08.2010,other,1,11
2006,0,6,1764,900,0,1231739,75,3768261,2,1836,306,5000000,864,432,2500000,0,VA,01.06.2006,web,1,4
2004,0,1,970,970,1,4000000,100,4000000,1,0,0,4000000,0,0,4000000,0,NY,01.07.2004,software,1,1
2002,0,1,1266,1266,1,30000000,100,30000000,1,0,0,30000000,0,0,30000000,1,CA,01.01.2002,semiconductor,4,3
2001,1,1,3397,1492,1,30462424,92,30462424,3,0,0,33000000,1905,635,11000000,1,CA,01.01.2001,enterprise,3,5
2004,0,2,397,397,1,11500000,100,11500000,1,836,418,11500000,0,0,11500000,1,CA,01.01.2004,advertising,2,15
2003,0,3,2100,305,0,5490767,58,14505848,5,749,249,24750000,1795,359,4950000,1,CA,01.11.2003,music,2,13
2004,0,3,1461,943,0,1136768,76,3763232,2,944,314,4900000,518,259,2450000,0,CA,01.01.2004,mobile,1,5
2010,0,1,31,31,1,31000,100,31000,1,0,0,31000,0,0,31000,0,NY,01.09.2010,web,2,1
2005,0,2,1020,273,1,14229319,56,14229319,3,649,324,25000000,747,249,8333333,1,CA,01.01.2005,security,2,5
2005,0,2,2070,485,1,7365304,61,7365304,3,1159,579,12000000,1585,528,4000000,1,MA,01.01.2005,software,2,4
2006,0,3,2378,620,0,3510086,60,6514969,5,601,200,10764323,1758,351,2152864,1,IL,01.01.2006,software,2,3
2000,0,1,2463,2463,1,25000000,100,25000000,1,0,0,25000000,0,0,25000000,1,CA,01.01.2000,biotech,1,3
2004,0,5,2058,789,1,31905459,76,31905459,4,1409,281,41500019,1269,317,10375004,1,NY,01.09.2004,music,4,13
2008,1,2,1492,1492,1,1000000,100,1000000,1,189,94,1000000,0,0,1000000,1,CA,01.08.2008,advertising,5,13
2008,1,4,993,0,1,1724231,45,1724231,4,1805,451,3800000,993,248,950000,1,TX,01.01.2008,messaging,4,4
2007,1,3,793,675,0,253042,74,746958,2,1063,354,1000000,118,59,500000,1,CA,01.10.2007,analytics,4,4
2006,0,3,761,455,1,2844333,86,2844333,2,1031,343,3300000,306,153,1650000,1,CA,01.01.2006,advertising,2,4
2002,0,4,4056,1309,0,1452442,84,8137354,3,726,181,9650000,2747,915,3216666,1,MA,01.01.2002,mobile,4,13
2002,0,2,1597,1319,0,4454724,62,7345276,2,2890,1445,11800000,278,139,5900000,1,MA,01.01.2002,search,4,1
2006,0,3,1434,0,0,1765479,78,14082929,3,1029,343,18000000,1434,478,6000000,1,NY,06.09.2006,advertising,2,16
2008,1,2,537,537,1,2000000,100,2000000,1,171,85,2000000,0,0,2000000,1,NY,01.01.2008,ecommerce,3,5
2006,0,2,1542,219,0,2948022,60,5733721,3,1907,953,9500000,1323,441,3166666,1,CA,01.10.2006,software,2,9
2007,1,2,1042,281,1,1742389,99,1742389,2,1199,599,1750000,761,380,875000,1,IL,08.06.2007,travel,1,3
2010,0,2,411,158,0,1863520,80,7936480,2,310,155,9800000,253,126,4900000,1,CA,01.05.2010,news,4,23
2011,0,2,282,282,1,2000000,100,2000000,1,305,152,2000000,0,0,2000000,0,CA,01.01.2011,web,1,3
2004,0,1,2111,2111,1,10000000,100,10000000,1,0,0,10000000,0,0,10000000,0,CA,01.01.2004,hardware,3,1
2008,1,3,260,260,1,3200000,100,3200000,1,518,172,3200000,0,0,3200000,1,CA,01.01.2008,web,1,5
2010,0,2,701,194,1,1484362,70,1484362,3,264,132,2100000,507,169,700000,0,CA,01.10.2010,enterprise,1,12
2006,0,3,1496,64,1,9318247,93,9318247,4,1575,525,10000000,1432,358,2500000,1,CA,01.01.2006,web,1,8
2012,0,3,171,171,1,3750000,100,3750000,1,210,70,3750000,0,0,3750000,1,CA,01.01.2012,mobile,9,5
2005,0,2,1144,396,1,2481736,59,2481736,2,736,368,4200000,748,374,2100000,1,CA,01.01.2005,enterprise,1,16
2008,1,3,991,430,1,38133355,84,38133355,3,420,140,45039999,561,187,15013333,1,CA,01.11.2008,games_video,3,21
2010,0,2,108,108,1,400000,100,400000,1,29,14,400000,0,0,400000,1,CA,01.01.2010,web,1,3
2009,1,2,377,377,1,2600000,100,2600000,1,273,136,2600000,0,0,2600000,1,CA,18.03.2009,web,4,5
2001,1,1,1826,1826,1,6500000,100,6500000,1,0,0,6500000,0,0,6500000,1,CO,01.01.2001,software,1,3
2006,0,2,965,965,1,5000000,100,5000000,1,2698,1349,5000000,0,0,5000000,1,CA,01.01.2006,cleantech,1,4
2008,1,2,1848,0,1,5409314,71,5409314,3,288,144,7600000,1848,616,2533333,1,CA,01.01.2008,advertising,5,10
2005,0,3,365,365,1,5000000,100,5000000,1,404,134,5000000,0,0,5000000,1,CO,01.06.2005,mobile,1,6
2005,0,2,948,948,1,12170000,100,12170000,1,936,468,12170000,0,0,12170000,0,CA,01.08.2005,enterprise,1,7
2007,1,2,939,939,1,500000,100,500000,1,799,399,500000,0,0,500000,1,CA,01.01.2007,web,5,7
2008,1,2,1094,749,1,3375983,86,3375983,2,661,330,3915000,345,172,1957500,1,NY,01.01.2008,advertising,3,9
2010,0,3,446,446,1,1350000,100,1350000,1,707,235,1350000,0,0,1350000,1,CA,01.01.2010,web,10,2
2009,1,3,1078,338,0,519253,83,3122167,3,697,232,3750000,740,246,1250000,1,NY,01.12.2009,fashion,2,2
2005,0,1,1332,365,1,7216245,59,7216245,2,0,0,12100000,967,483,6050000,0,CA,01.01.2005,web,1,10
2005,0,2,209,209,1,15000000,100,15000000,1,1037,518,15000000,0,0,15000000,0,CA,01.01.2005,network_hosting,1,12
2008,1,2,0,0,1,1000000,100,1000000,1,268,134,1000000,0,0,1000000,1,NY,01.01.2008,web,1,0
2005,0,2,2611,371,0,853117,50,6557829,4,906,453,13075000,2240,560,3268750,1,CA,14.02.2005,advertising,4,10
2011,0,2,193,61,0,410237,58,572763,2,831,415,983000,132,66,491500,1,NY,01.05.2011,messaging,6,4
2010,0,3,311,311,1,500000,100,500000,1,1074,358,500000,0,0,500000,0,CA,04.10.2010,web,3,3
2002,0,1,1315,1315,1,10000000,100,10000000,1,0,0,10000000,0,0,10000000,0,CA,01.01.2002,public_relations,4,2
2003,0,1,2077,937,0,5767546,53,11953526,3,0,0,22400000,1140,380,7466666,1,NC,01.01.2003,network_hosting,3,3
2005,0,3,1417,975,1,5657997,75,5657997,2,1211,403,7500000,442,221,3750000,1,VA,01.01.2005,software,1,4
2000,0,1,3726,1955,0,5870140,51,41877372,4,0,0,81017493,1771,442,20254373,1,CA,01.01.2000,semiconductor,5,2
2006,0,3,1374,87,1,25400955,76,25400955,4,533,177,33000000,1287,321,8250000,0,TX,06.08.2006,software,4,10
2009,1,2,1699,489,1,4168820,57,4168820,5,6,3,7228704,1210,242,1445740,0,CO,01.01.2009,finance,1,0
2007,1,3,390,390,1,4300000,100,4300000,1,1151,383,4300000,0,0,4300000,0,CA,01.03.2007,advertising,1,4
2010,0,3,730,730,1,200000,100,200000,1,780,260,200000,0,0,200000,0,NY,01.01.2010,mobile,1,8
2005,0,3,1172,839,1,6051766,50,6051766,2,358,119,12000000,333,166,6000000,0,CA,01.01.2005,advertising,2,4
2008,1,3,871,649,0,14662658,80,61337342,2,846,282,76000000,222,111,38000000,1,CA,01.02.2008,games_video,4,37
2004,0,3,1370,1370,1,10000000,100,10000000,1,443,147,10000000,0,0,10000000,1,NY,01.04.2004,advertising,1,7
2003,0,1,2092,789,1,15800733,71,15800733,3,0,0,22000000,1303,434,7333333,1,CA,01.01.2003,software,2,5
2002,0,2,3103,2069,0,116473,75,1058984,3,489,244,1400000,1034,344,466666,1,CA,01.01.2002,software,1,4
2006,0,4,1334,0,0,11180684,54,14747142,3,789,197,27300000,1334,444,9100000,1,CO,01.01.2006,advertising,3,14
2005,0,1,1474,1474,1,20000000,100,20000000,1,0,0,20000000,0,0,20000000,1,NY,01.01.2005,advertising,1,10
2008,1,3,1461,121,1,1432378,98,1432378,4,476,158,1449998,1340,335,362499,0,NY,01.01.2008,social,1,8
2011,0,3,419,3,1,650944,72,650944,3,456,152,900000,416,138,300000,0,NY,17.05.2011,social,1,5
2012,0,2,265,13,1,43946,62,43946,2,163,81,70000,252,126,35000,1,CA,10.01.2012,news,1,4
2009,1,3,822,325,1,12686133,34,12686133,4,34,11,36500000,497,124,9125000,1,NY,01.03.2009,ecommerce,1,21
2008,1,1,1467,761,0,258847,65,766946,5,0,0,1178000,706,141,235600,1,MA,01.07.2008,software,5,5
2007,1,2,915,528,0,20336683,50,20663317,2,416,208,41000000,387,193,20500000,1,CA,01.12.2007,fashion,1,15
2008,1,2,573,7,0,437490,51,672439,3,871,435,1310000,566,188,436666,1,NY,08.07.2008,software,6,12
1999,0,1,3101,3101,1,44000000,100,44000000,1,0,0,44000000,0,0,44000000,0,CA,01.01.1999,biotech,1,5
2009,1,3,1316,266,1,1394546,29,1394546,5,918,306,4705910,1050,210,941182,1,NY,01.07.2009,mobile,3,5
2011,0,2,478,249,1,4031863,87,4031863,2,827,413,4600000,229,114,2300000,1,MA,01.01.2011,advertising,9,5
2006,0,1,703,244,1,6811794,63,6811794,2,0,0,10800000,459,229,5400000,0,NY,01.04.2006,enterprise,1,2
2002,0,1,2004,2004,1,3170000,100,3170000,1,0,0,3170000,0,0,3170000,0,CA,01.01.2002,web,2,1
2005,0,1,1294,638,0,23355805,70,56644195,2,0,0,80000000,656,328,40000000,0,CA,01.01.2005,mobile,1,4
1999,0,1,3783,3783,1,21000000,100,21000000,1,0,0,21000000,0,0,21000000,0,CO,01.01.1999,semiconductor,1,4
2011,0,3,124,124,1,1200000,100,1200000,1,427,142,1200000,0,0,1200000,1,NY,15.11.2011,travel,5,9
2007,1,1,520,520,1,6000000,100,6000000,1,0,0,6000000,0,0,6000000,1,CA,01.01.2007,advertising,2,7
2006,0,3,912,396,0,761544,90,7638456,2,912,304,8400000,516,258,4200000,1,MA,01.01.2006,web,2,10
2007,1,1,790,494,0,471613,95,10028387,2,0,0,10500000,296,148,5250000,0,CA,01.01.2007,other,2,3
2009,1,2,399,399,1,10000000,100,10000000,1,202,101,10000000,0,0,10000000,1,CA,01.09.2009,software,7,6
2006,0,2,857,0,1,21927589,97,21927589,3,1884,942,22487000,857,285,7495666,1,CA,01.01.2006,semiconductor,2,7
2009,1,2,487,487,1,2000000,100,2000000,1,651,325,2000000,0,0,2000000,1,WA,01.03.2009,web,11,3
2011,0,2,213,0,0,14397,88,110603,2,4,2,125000,213,106,62500,1,NH,01.08.2011,mobile,1,9
2004,0,1,935,397,0,2986037,68,6513963,2,0,0,9500000,538,269,4750000,0,CA,01.01.2004,software,2,7
2000,0,3,4345,1328,0,9308118,39,94258957,7,620,206,238209999,3017,431,34029999,1,IN,01.12.2000,software,2,29
2003,0,2,1133,922,1,11909144,53,11909144,2,2235,1117,22300000,211,105,11150000,1,WA,01.01.2003,software,4,5
2009,1,3,382,193,0,292517,81,7977106,3,760,253,9807367,189,63,3269122,1,CA,01.05.2009,advertising,8,30
2010,0,2,235,92,0,144086,72,387914,2,175,87,532000,143,71,266000,1,WA,01.08.2010,enterprise,5,6
2010,0,2,245,245,1,100000,100,100000,1,276,138,100000,0,0,100000,0,CA,01.05.2010,games_video,1,3
2006,0,1,456,456,1,1500000,100,1500000,1,0,0,1500000,0,0,1500000,0,CA,01.09.2006,ecommerce,1,6
2000,0,3,2618,1676,0,7127557,38,9535617,4,4810,1603,25000000,942,235,6250000,1,CA,01.07.2000,games_video,3,7
2010,0,1,0,0,1,1500000,100,1500000,1,0,0,1500000,0,0,1500000,0,NY,01.02.2010,fashion,6,2
2009,1,2,890,890,1,17000000,100,17000000,1,40,20,17000000,0,0,17000000,1,GA,01.01.2009,enterprise,5,10
1990,1,2,6200,6200,1,6000000,100,6000000,1,606,303,6000000,0,0,6000000,0,CA,10.04.1990,network_hosting,1,7
2006,0,2,729,729,1,6000000,100,6000000,1,1315,657,6000000,0,0,6000000,1,WA,01.12.2006,network_hosting,1,3
2011,0,1,0,0,1,20000,100,20000,1,0,0,20000,0,0,20000,0,OH,01.09.2011,fashion,1,2
2002,0,1,2305,1590,1,10578881,67,10578881,3,0,0,15650000,715,238,5216666,1,GA,01.01.2002,cleantech,1,1
2007,1,3,1444,1282,0,62932736,87,447067264,2,322,107,510000000,162,81,255000000,0,CO,01.01.2007,cleantech,1,5
2001,1,1,2400,1547,1,23843765,78,23843765,2,0,0,30500000,853,426,15250000,1,CA,01.01.2001,enterprise,4,10
2003,0,3,3287,887,0,6818442,63,41336720,6,524,174,64630000,2400,400,10771666,1,CA,01.01.2003,mobile,3,10
2004,0,1,2135,615,0,11620152,43,12173803,3,0,0,27690547,1520,506,9230182,1,CA,01.01.2004,cleantech,4,4
2009,1,2,580,580,1,3000000,100,3000000,1,496,248,3000000,0,0,3000000,1,CA,25.11.2009,software,2,6
2007,1,1,822,540,0,642138,83,3357862,2,0,0,4000000,282,141,2000000,1,CA,01.10.2007,web,1,6
2006,0,1,1654,1654,1,1310000,100,1310000,1,0,0,1310000,0,0,1310000,0,CA,01.01.2006,news,1,1
2007,1,2,1604,0,1,7550556,31,7550556,7,453,226,24300000,1604,229,3471428,0,NH,01.01.2007,software,1,5
2004,0,2,1601,731,0,10161163,39,11917065,4,952,476,30000000,870,217,7500000,0,WA,01.01.2004,network_hosting,2,7
2008,1,1,795,583,1,1262863,52,1262863,2,0,0,2387481,212,106,1193740,0,NV,01.09.2008,analytics,1,2
2005,0,4,996,638,0,1006858,69,14902287,3,1605,401,21500000,358,119,7166666,1,CA,01.10.2005,mobile,3,16
2004,0,5,273,273,1,5000000,100,5000000,1,1560,312,5000000,0,0,5000000,1,TX,01.11.2004,web,3,12
2000,0,2,730,517,0,777363,72,6359689,3,1612,806,8800000,213,71,2933333,1,OR,01.01.2000,network_hosting,1,3
2009,1,2,889,263,1,2959101,98,2959101,2,739,369,3000000,626,313,1500000,1,CA,01.01.2009,messaging,2,7
2007,1,3,695,695,1,1500000,100,1500000,1,766,255,1500000,0,0,1500000,1,NY,01.10.2007,music,1,13
2003,0,1,2469,944,0,12174134,50,24699181,5,0,0,49000000,1525,305,9800000,0,CA,01.01.2003,security,3,8
2005,0,1,851,273,1,13338637,88,13338637,2,0,0,15000000,578,289,7500000,1,CA,01.01.2005,software,3,6
2006,0,2,1004,0,0,2203646,88,17796354,2,698,349,20000000,1004,502,10000000,1,MA,01.01.2006,enterprise,1,9
2011,0,2,663,30,0,1014331,43,1732781,3,444,222,4000000,633,211,1333333,1,NY,01.06.2011,web,2,7
2006,0,2,271,271,1,4000000,100,4000000,1,1003,501,4000000,0,0,4000000,0,TX,01.06.2006,search,2,9
2007,1,4,777,15,1,5599979,99,5599979,3,1138,284,5600000,762,254,1866666,1,NY,16.04.2007,web,2,9
2005,0,2,1152,570,1,13963068,64,13963068,2,181,90,21750000,582,291,10875000,1,NY,01.01.2005,games_video,2,8
2006,0,1,471,471,1,2000000,100,2000000,1,0,0,2000000,0,0,2000000,0,TX,01.10.2006,web,1,3
2009,1,3,1040,1040,1,3500000,100,3500000,1,469,156,3500000,0,0,3500000,1,MN,01.01.2009,enterprise,2,7
2010,0,3,766,4,0,3436082,55,32072013,3,253,84,57500000,762,254,19166666,1,CA,01.03.2010,photo_video,4,12
2010,0,3,577,271,1,2277843,49,2277843,3,627,209,4575000,306,102,1525000,1,NY,01.01.2010,web,5,10
2004,0,1,1166,718,1,11341840,88,11341840,2,0,0,12800000,448,224,6400000,1,CA,01.01.2004,mobile,2,5
2004,0,3,2627,892,1,22326769,87,22326769,3,3261,1087,25500100,1735,578,8500033,0,CA,22.10.2004,software,2,6
2007,1,2,158,75,0,22068,94,392932,2,906,453,415000,83,41,207500,1,CO,18.05.2007,network_hosting,1,6
2000,0,2,2966,2684,1,19545077,79,19545077,2,9,4,24500000,282,141,12250000,1,MA,01.01.2000,security,5,13
2005,0,5,1579,30,1,80541732,90,80541732,7,711,142,88651133,1549,221,12664447,1,NY,01.09.2005,mobile,3,12
2000,0,2,2259,1899,1,6255633,62,6255633,2,1966,983,10000000,360,180,5000000,1,MO,01.07.2000,mobile,4,6
2002,0,1,1709,1436,0,8793227,51,9456773,2,0,0,18250000,273,136,9125000,1,CA,01.01.2002,search,2,3
2007,1,3,2086,351,1,34089601,96,34089601,6,307,102,35200000,1735,289,5866666,1,CA,15.01.2007,analytics,2,18
2001,1,1,1541,1541,1,16000000,100,16000000,1,0,0,16000000,0,0,16000000,1,CA,01.01.2001,software,3,6
2007,1,3,1033,913,1,18933208,67,18933208,2,148,49,28000000,120,60,14000000,0,CA,01.01.2007,enterprise,1,13
1984,0,1,7992,7992,1,8000000,100,8000000,1,0,0,8000000,0,0,8000000,0,NC,01.01.1984,software,2,1
2009,1,2,764,120,1,125732,72,125732,3,520,260,172500,644,214,57500,1,MA,01.01.2009,web,1,4
1998,0,1,3368,2647,1,34725015,66,34725015,3,0,0,52000000,721,240,17333333,0,MA,01.01.1998,security,2,1
2001,1,1,1477,730,1,13030497,48,13030497,3,0,0,26800000,747,249,8933333,1,TX,01.01.2001,software,3,4
2009,1,2,741,485,1,989780,64,989780,3,11,5,1525000,256,85,508333,1,IL,01.01.2009,ecommerce,2,5
2006,0,5,2155,0,1,11649653,38,11649653,7,1203,240,29915001,2155,307,4273571,1,NY,01.03.2006,advertising,2,18
2010,0,2,325,325,1,4000000,100,4000000,1,437,218,4000000,0,0,4000000,0,NY,01.01.2010,mobile,1,15
2007,1,1,1373,305,1,562045,39,562045,3,0,0,1420698,1068,356,473566,1,NY,01.08.2007,mobile,2,5
2004,0,2,366,366,1,5000000,100,5000000,1,878,439,5000000,0,0,5000000,0,CA,01.01.2004,games_video,3,2
2008,1,1,244,244,1,2600000,100,2600000,1,0,0,2600000,0,0,2600000,0,CA,01.01.2008,search,1,2
2005,0,1,293,293,1,1200000,100,1200000,1,0,0,1200000,0,0,1200000,0,CA,10.05.2005,software,1,4
2006,0,1,732,732,1,30000000,100,30000000,1,0,0,30000000,0,0,30000000,1,MA,01.01.2006,ecommerce,2,1
2005,0,3,1269,1269,1,11370000,100,11370000,1,709,236,11370000,0,0,11370000,1,CA,01.01.2005,network_hosting,2,8
2010,0,1,1051,0,0,371057,97,12328943,2,0,0,12700000,1051,525,6350000,1,CA,01.07.2010,analytics,1,15
2006,0,2,1004,273,1,2227364,63,2227364,2,1076,538,3500000,731,365,1750000,1,CA,01.08.2006,games_video,3,5
2011,0,2,895,277,0,118773,52,131227,2,269,134,250000,618,309,125000,1,NV,01.01.2011,news,1,3
2006,0,2,1738,790,0,5588033,48,5819607,3,1004,502,12000000,948,316,4000000,1,CA,01.01.2006,analytics,2,13
2009,1,2,984,984,1,1300000,100,1300000,1,286,143,1300000,0,0,1300000,1,OR,01.04.2009,mobile,1,5
2004,0,2,1873,1873,1,2000000,100,2000000,1,1953,976,2000000,0,0,2000000,0,WI,03.12.2004,advertising,2,6
2006,0,2,1146,1035,1,62552439,50,62552439,2,145,72,125000000,111,55,62500000,0,CT,01.01.2006,mobile,2,0
2008,1,1,1577,289,1,23092512,90,23092512,3,0,0,25500000,1288,429,8500000,1,CA,01.01.2008,cleantech,2,5
2006,0,4,1203,183,0,4249887,62,16684737,3,1799,449,26500000,1020,340,8833333,1,MA,01.06.2006,mobile,2,18
2001,1,2,3241,365,0,13302978,40,25216383,5,1892,946,62600000,2876,575,12520000,1,CA,01.01.2001,semiconductor,9,7
2001,1,1,3396,1477,1,13307965,70,13307965,5,0,0,18914576,1919,383,3782915,1,WA,01.01.2001,enterprise,3,2
2008,1,2,547,60,1,1934900,55,1934900,2,870,435,3500000,487,243,1750000,1,CA,01.01.2008,software,1,6
2011,0,2,20,20,1,100000,100,100000,1,121,60,100000,0,0,100000,0,FL,11.11.2011,social,1,4
2000,0,1,2658,1995,0,8783646,44,12060642,3,0,0,27000000,663,221,9000000,1,CA,01.06.2000,software,6,5
2005,0,3,2810,2139,0,1899239,66,19212281,4,661,220,28932322,671,167,7233080,1,CA,01.01.2005,advertising,2,28
2004,0,2,2143,448,1,23858258,72,23858258,4,1113,556,33000000,1695,423,8250000,1,IL,10.05.2004,software,5,4
2007,1,3,1096,821,1,366102,97,366102,3,743,247,375000,275,91,125000,1,CA,01.01.2007,music,1,3
2003,0,2,3437,1679,0,302168862,51,2944005226,4,1649,824,5700000000,1758,439,1425000000,1,WA,01.10.2003,mobile,4,19
2008,1,2,1016,484,1,2016864,99,2016864,3,533,266,2030882,532,177,676960,1,MA,01.12.2008,software,3,5
2007,1,2,597,334,1,486123,97,486123,2,452,226,500000,263,131,250000,1,MA,01.01.2007,web,2,7
2003,0,1,1482,1482,1,15000000,100,15000000,1,0,0,15000000,0,0,15000000,1,CA,01.01.2003,public_relations,4,7
2011,0,1,6,6,1,30000,100,30000,1,0,0,30000,0,0,30000,0,WA,01.03.2011,advertising,2,1
2009,1,2,687,687,1,1600000,100,1600000,1,591,295,1600000,0,0,1600000,1,CA,01.01.2009,games_video,3,6
2003,0,2,2627,1415,1,26452545,94,26452545,4,1654,827,28000000,1212,303,7000000,0,CA,01.09.2003,ecommerce,1,3
2001,1,3,2543,852,0,19208119,68,47040653,3,1569,523,68200000,1691,563,22733333,1,CA,01.09.2001,hardware,4,11
2002,0,2,2100,2100,1,1000000,100,1000000,1,668,334,1000000,0,0,1000000,1,NY,01.01.2002,software,3,4
2011,0,2,317,0,0,282218,87,2022781,2,640,320,2304999,317,158,1152499,1,CA,01.01.2011,mobile,5,3
2010,0,2,0,0,1,20000,100,20000,1,215,107,20000,0,0,20000,0,TX,01.05.2010,mobile,1,5
2010,0,2,327,0,1,2663720,59,2663720,2,247,123,4500000,327,163,2250000,1,VA,01.01.2010,web,2,9
2003,0,1,2070,1153,0,3467078,85,20032922,2,0,0,23500000,917,458,11750000,1,CA,01.01.2003,software,5,9
2005,0,4,290,290,1,4000000,100,4000000,1,467,116,4000000,0,0,4000000,0,CA,15.01.2005,web,1,7
2008,1,2,644,644,1,3750000,100,3750000,1,1126,563,3750000,0,0,3750000,1,NY,01.10.2008,analytics,1,5
2008,1,3,467,467,1,5000000,100,5000000,1,321,107,5000000,0,0,5000000,1,CA,01.11.2008,cleantech,1,8
2010,0,1,1009,0,1,458121,96,458121,3,0,0,475000,1009,336,158333,1,CA,01.02.2010,travel,4,4
2009,1,2,90,90,1,3000000,100,3000000,1,199,99,3000000,0,0,3000000,1,MA,17.10.2009,software,1,9
2007,1,4,1034,303,1,3120385,62,3120385,3,821,205,5000000,731,243,1666666,1,PA,01.02.2007,advertising,1,17
2002,0,2,1171,1171,1,10000000,100,10000000,1,959,479,10000000,0,0,10000000,1,CA,01.10.2002,software,2,11
2008,1,1,179,179,1,240000,100,240000,1,0,0,240000,0,0,240000,1,NY,05.06.2008,games_video,2,6
2004,0,4,135,135,1,6200000,100,6200000,1,2324,581,6200000,0,0,6200000,1,CA,19.08.2004,search,2,5
2009,1,2,189,189,1,1100000,100,1100000,1,1440,720,1100000,0,0,1100000,1,CA,01.01.2009,advertising,6,9
2004,0,3,2468,601,1,12189403,35,12189403,3,641,213,34100000,1867,622,11366666,1,CA,01.01.2004,finance,3,25
2005,0,3,1935,608,1,32961647,41,32961647,6,919,306,78500000,1327,221,13083333,1,NJ,01.01.2005,ecommerce,3,27
2004,0,1,1707,1707,1,50000000,100,50000000,1,0,0,50000000,0,0,50000000,1,CO,01.01.2004,web,4,0
2006,0,2,1759,638,1,38543524,69,38543524,4,298,149,55350000,1121,280,13837500,1,NY,01.01.2006,finance,4,8
2003,0,1,2333,533,0,7038921,56,33007122,3,0,0,58000000,1800,600,19333333,1,CA,01.01.2003,biotech,5,4
2009,1,1,577,0,0,114141,71,285859,2,0,0,400000,577,288,200000,0,WA,01.01.2009,web,1,1
2005,0,1,1698,806,0,4435263,77,15564737,2,0,0,20000000,892,446,10000000,1,TX,28.08.2005,security,2,1
2000,0,1,2963,1899,1,8729509,87,8729509,2,0,0,10000000,1064,532,5000000,0,MA,01.01.2000,public_relations,1,2
2008,1,1,758,303,0,3463129,93,51536871,2,0,0,55000000,455,227,27500000,1,MA,01.01.2008,biotech,2,4
2001,1,1,1568,1568,1,5000000,100,5000000,1,0,0,5000000,0,0,5000000,0,WA,01.01.2001,software,5,3
2000,0,1,3637,2141,1,49453852,91,49453852,6,0,0,53818873,1496,249,8969812,1,CA,01.01.2000,hardware,4,7
2010,0,1,669,669,1,690000,100,690000,1,0,0,690000,0,0,690000,0,OH,01.02.2010,web,3,4
2005,0,3,151,151,1,100000,100,100000,1,745,248,100000,0,0,100000,1,CA,01.01.2005,web,1,9
2005,0,1,1761,1761,1,5000000,100,5000000,1,0,0,5000000,0,0,5000000,0,TX,01.01.2005,mobile,1,1
2002,0,1,1659,1659,1,7500000,100,7500000,1,0,0,7500000,0,0,7500000,0,CA,01.01.2002,network_hosting,3,3
2009,1,1,657,657,1,1100000,100,1100000,1,0,0,1100000,0,0,1100000,1,NY,01.01.2009,web,8,8
2006,0,1,2175,575,1,24564985,96,24564985,5,0,0,25413298,1600,320,5082659,1,MA,01.01.2006,network_hosting,3,6
2000,0,1,2363,2048,0,5438388,82,25481612,2,0,0,30920000,315,157,15460000,1,TX,01.01.2000,public_relations,3,3
2000,0,1,2699,2699,1,10000000,100,10000000,1,0,0,10000000,0,0,10000000,1,CA,01.01.2000,biotech,1,4
2007,1,3,994,994,1,600000,100,600000,1,1969,656,600000,0,0,600000,1,CA,01.01.2007,web,7,5
2007,1,4,271,92,1,2169055,54,2169055,2,781,195,4000000,179,89,2000000,1,CA,01.08.2007,web,3,22
2012,0,1,109,109,1,19000,100,19000,1,0,0,19000,0,0,19000,0,GA,01.01.2012,ecommerce,1,1
